Image_Name,Cleanliness_minor,Cleanliness_major,Cleanliness_supermajor,Neatness_neatness,Neatness_Grade,Total_Defects
1_1.jpeg,0,0,0,0,100,0
2_1.jpeg,0,0,0,0,100,0
1_2.jpeg,0,0,0,0,100,0
