Image_Name,Cleanliness_minor,Cleanliness_major,Cleanliness_supermajor,Neatness_neatness,Neatness_Grade,Total_Defects
panel11_1_1 (3)_1.png,0,0,0,4,90,4
1_1.jpeg,0,0,0,0,100,0
2_2.jpeg,0,0,0,0,100,0
panel11_1_1 (2)_1.png,0,0,0,4,90,4
2_1.jpeg,0,0,0,4,90,4
1_2.jpeg,0,0,0,0,100,0
