Image_Name,Cleanliness_major,Cleanliness_minor,Cleanliness_supermajor,Neatness_neatness,Neatness_Grade,Total_Defects
1_1.jpeg,0,0,0,5,90,5
2_2.jpeg,0,0,0,11,70,11
2_1.jpeg,0,0,0,3,90,3
1_2.jpeg,0,0,0,4,90,4
