Image_Name,Cleanliness_minor,Cleanliness_major,Cleanliness_super_major,Cleanliness_supermajor,Neatness_neatness,Total_Defects
1_1.jpeg,0,0,0,0,0,0
2_2.jpeg,1,0,0,0,0,1
2_1.jpeg,0,0,0,0,0,0
1_2.jpeg,1,1,0,1,0,3
