Image_Name,Cleanliness_supermajor,Cleanliness_major,Cleanliness_minor,Neatness_neatness,Neatness_Grade,Total_Defects
1_1.jpeg,0,0,0,0,100,0
2_2.jpeg,0,0,0,0,100,0
2_1.jpeg,0,0,0,2,90,2
1_2.jpeg,0,0,0,0,100,0
