Timestamp,Image_Name,Cleanliness_minor,Cleanliness_major,Cleanliness_supermajor,Neatness_neatness,Neatness_Grade,Total_Defects,Output_Image_Path
2026-01-10 11:59:23,1_1.jpeg,1,0,0,1,90,2,/Users/nagaprasadnaik/Documents/csb/seriplane/results/neatness/1_1.jpeg
2026-01-10 11:59:23,2_2.jpeg,0,0,0,9,80,9,/Users/nagaprasadnaik/Documents/csb/seriplane/results/neatness/2_2.jpeg
2026-01-10 11:59:24,2_1.jpeg,0,0,0,3,90,3,/Users/nagaprasadnaik/Documents/csb/seriplane/results/neatness/2_1.jpeg
2026-01-10 11:59:24,1_2.jpeg,0,0,0,5,90,5,/Users/nagaprasadnaik/Documents/csb/seriplane/results/neatness/1_2.jpeg
