Image,Mean_Brightness,v1_Count,v2_Count,v3_Count,Total_Defects
1_1.jpeg,82.44726883857587,0,0,0,0
1_2.jpeg,86.45051891678587,0,0,0,0
2_1.jpeg,87.26268174667493,0,0,0,0
2_2.jpeg,90.49907361190047,0,1,0,1
